,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,ADT,AEE,AEO,AEP,AES,AET,AFL,AGN,AIG
2007-05-16,25.802342747743,,13.794686067411,,21.491073960097,21.461777644084,50.019226946894335,338.18452248159105,32.207788459006,42.29,29.65121517937,28.944679671107,31.862335802921,43.8,,32.670768082502,18.845875251202,31.791938985221,17.989262404388,47.576235926077,40.42008444605,30.860375880227,1107.9151980407
2007-05-17,25.672717017387,,14.064565336477,,21.411071921453,21.392768712752,49.615324920514375,344.46686185788434,31.909269377598,42.42,30.001984651665,28.905234754684,31.875575917529,43.3,,32.486389089136,18.845875251202,31.472742810671,18.035369014566,48.033172498552,40.14089737006,30.880158172458,1103.939791589
2007-05-18,25.925146071238,,14.139103420314,,21.630240374192,21.585267310677,49.873822217397546,353.3152271766073,32.006086376973,43.59,29.964668750357,29.110348320083,32.193338668108,44.3,,32.379330318795,19.102326449665,31.370600034815,17.94315579421,47.786426749415,40.171918156282,31.315368601538,1104.2455920853
2007-05-21,26.143463090785,,14.390990738109,,21.781972379934,21.294703389281,50.18078775744632,362.25207614851746,31.998018293692,43.25,29.957205570096,29.031458487237,32.378700272613,45.13,,32.159265068649,19.286445258819,31.728099750311,18.142951104981,47.868675332461,40.164162959726,30.563641496763,1100.728886378
2007-05-22,26.293556041724,,14.591472480844,,21.621810818317,20.953290781641,50.18886579797392,355.61580215947527,31.965745960567,43.59,30.166174617421,28.77901102213,32.491241246777,45.53,,32.058154007771,18.451334945873,31.204618024049,17.958524664269,47.850397869562,40.451105232271,30.712008688495,1099.9643851373
2007-05-23,26.320845669168,,14.507938421371,,21.562803927195,20.778952428804,49.300281339938,358.0048607955305,32.304605458382,43.23,27.158512971993,28.353005924763,32.199958725412,45.51,,31.849984176552,18.267216136719,31.217385871031,18.36579972084,47.430016222885,40.296001301166,30.682335250148,1099.5056843929
2007-05-24,25.706829051691,,14.22520775854,,21.347850252393,20.506548752496,48.90445735408564,358.88969732740276,32.215856542288,41.99,26.412194945832,27.666664379005,32.252919183842,44.74,,31.100572784162,18.010764938256,30.240645576906,17.781782658588,47.1558542794,40.311511694276,30.642770665687,1093.8483752116
2007-05-25,26.17757512509,,14.601753595856,,22.001140832674,20.473860311339,49.54262255576598,367.0301934206278,32.853235121511,42.38,26.621163993157,27.86388896112,32.590542106333,44.97,,30.868612115089,17.839797472613,30.164038495014,17.804835963677,47.905230258259,40.559677984045,30.563641496763,1100.1172853855
2007-05-29,26.143463090785,,14.695568770341,,22.060147723796,20.575557683827,49.2760472183552,364.55265113138546,33.022664870419,42.87,27.165976152254,27.777110144989,32.478001132169,44.9,,31.005409432748,17.714859709259,30.221493806433,17.651147263084,48.334750636385,40.435594839161,30.593314935109,1099.1998838966
2007-05-30,26.122995870203,,15.263600374757,,21.971637387113,20.281361713414,49.324515461520804,368.71138283118523,32.788690455261,43.22,26.777890778651,28.092669476372,32.597162163637,45.03,,31.195736135577,17.813494785591,30.540689980984,18.212111020248,48.490109071027,40.900906632477,30.385600866685,1104.7807429538
2007-05-31,26.041126987873,,15.574732617808,,21.588092594819,20.466596213304,49.736495528428364,357.89821246930916,33.0307329537,44.0601,27.160432075489,27.642997429152,32.901684799609,45.45,,31.564494122308,17.754313739792,30.406627587673,18.235164325336,48.371305562183,40.99396899114,30.524076912301,1108.6119981312
2007-06-01,26.116173463342,,15.216050217826,,21.638669930066,20.448435968216,49.639559042097176,358.25274264510836,33.288911618702,44.53,27.490467704133,27.287993181346,32.961265315343,44.9,,31.386062838406,17.885827174902,30.361940123236,18.073791189714,48.682022431466,41.133562529135,31.186783702037,1113.3627545512
2007-06-04,26.25944400742,,15.592596055142,,21.634455152129,20.20145663503,49.81727593370435,362.95026747444797,33.27277545214,44.58,27.550474182068,27.193325381931,33.173107149063,45.1,,31.222500828162,17.708284037504,29.934217249338,17.789467093617,48.289056979138,41.056010563582,31.186783702037,1111.8302524802
2007-06-05,26.245799193698,,15.764804731594,,21.596522150693,20.154239997803,50.05961714953233,360.0253935241044,33.684247699487,44.34,27.670487137939,27.2091033485,32.756043538927,44.79,,30.710755249605,17.511013884839,29.710779927153,17.466720822372,47.868675332461,40.931927418698,31.305477455422,1108.305497717
2007-06-06,26.17757512509,,15.889463251115,,21.50801181401,19.881836321495,49.728417487900764,345.8441864921358,33.079141453388,43.64,27.445462845681,26.901433000402,32.835484226572,44.55,,30.40972843869,17.760889411548,29.225601741836,16.86733489006,46.899969798814,40.784578684148,30.919722756919,1106.0067446106
2007-06-07,25.420287963535,,15.944595730367,,21.495367480198,19.605800596169,49.03370600252723,328.38357533402433,32.127107626193,42.72,26.680380252006,26.585873669019,32.0013570063,43.67,,29.464504252415,17.254562686376,28.408459534987,16.375531048163,46.97307965041,40.497636411603,30.850484734111,1093.89997825
2007-06-08,25.604492948778,,15.998700098118,,21.579663038944,19.71839411571,49.50223235312799,336.00597411370745,32.030290626817,43.04,27.280445031359,27.248548264923,32.047697407426,44.18,,29.615017657873,17.129624923022,28.670200398118,16.613748534082,47.749871823617,40.575188377155,31.107654533113,1096.1987313564
2007-06-11,25.727296272273,,15.44609016622,,21.470078812575,19.634856988309,50.3585046490535,335.5628113939585,31.917337460879,42.99,27.077923168327,27.12232453237,32.193338668108,44.83,,29.87390071526,17.234835671109,28.753191403501,16.682908449349,47.786426749415,41.560098339674,30.890049318573,1098.0377338416
2007-06-12,25.563558507613,,15.470507814374,,21.486937924324,19.373349459053,50.03538302794953,327.2313522626769,31.868928961191,42.73,26.867900495554,27.043434699524,31.809375344491,45.79,,29.506648005943,17.109897907755,28.485066616879,16.175735737393,47.311212714042,41.024989777361,30.435056597262,1096.3519815635
2007-06-13,26.245799193698,,15.10038767394,,21.638669930066,19.682073625535,50.431207013801895,339.01948060800083,31.844724711347,44.11,27.527971752843,27.256437248207,32.669982793978,47.04,,30.162886453739,17.471559854307,28.944709108232,16.306371132897,47.009634576208,41.180093708466,31.04830765642,1111.2172516518
2007-06-14,26.505050654411,,15.261030096003,,21.537515259571,19.682073625535,50.20502187902911,350.275813689626,31.876997044472,43.96,28.098033293228,27.193325381931,32.536961691397,45.29,,30.090640019119,17.366349106219,28.880869873322,16.598379664023,46.232842403001,40.947437811808,31.4835180855,1108.6119981312
2007-06-15,26.41635936522,,15.485929486892,,21.280413805396,19.87457222346,50.382738770636294,346.28734921188476,32.272333125257,42.75,28.240548678325,27.272215214777,32.696587014494,45.0,,30.361564148943,17.103322236,29.538413992895,16.967232545446,45.903848070819,40.900906632477,31.582429546655,1111.6770022731
2007-06-18,26.539162688715,,16.075808460708,,21.250910359835,19.809195341146,50.22117796008431,330.15622621302043,33.490613700735,42.67,28.263051107551,27.414216913899,32.503706415751,45.5,,30.138804308866,17.668830006971,28.963860878705,16.736699494557,46.150593819956,40.900906632477,31.760470176733,1111.0640014447
2007-06-19,26.81888137001,,15.892033529868,,21.187688690776,19.86004402739,50.52006545960548,327.4086173505765,33.409932867922,42.48,28.150538961422,26.925099950255,32.523659581138,46.5,,30.084619482901,17.72801105277,29.091539348525,16.705961754438,46.2511198659,41.149072922245,31.987966537389,1112.7497537228
2007-06-20,26.430004178941,,15.620869121425,,21.01066801741,19.714762066692,50.17270971691872,314.9114286536541,33.934358281207,41.37,27.820503332777,26.412316036758,32.191106824685,46.64,,29.356134600485,17.570194930639,28.063727666473,16.260264522719,45.218443212107,40.815599470369,31.879163930119,1103.7079915041
2007-06-21,26.702900453375,,15.922876874904,,21.052815796783,19.540423713855,50.10000735217033,320.6725440103914,33.700383866049,41.53,28.893119125872,26.688430451718,32.483753250364,47.17,,29.48256586107,17.372924777974,28.389307764514,16.037415906859,45.117917166163,41.249890477464,32.522088427623,1104.1677421254
2007-06-22,26.368602517194,,15.807214331018,,20.821003010231,19.199011106215,50.47967525696749,314.6455310218047,34.394239028242,40.84,27.820503332777,26.412316036758,32.191106824685,46.66,,29.199600658809,17.17565462531,27.763683262395,16.536904183786,44.880310148476,40.854375453145,31.928619660696,1091.9077255578
2007-06-25,26.252621600559,,15.722395132169,,20.905298568977,19.631224939291,50.398894851691495,309.7707411045655,34.006971030739,40.34,27.94801709839,26.065200772237,32.0115283362,46.91,,29.181539050154,17.169078953555,28.268013218185,16.752068364616,44.322847530056,40.257225318389,31.948401952927,1089.7622226584
2007-06-26,26.198042345672,,15.376692639889,,20.842076899918,19.602168547152,50.20502187902911,300.3756914458862,34.531396444025,39.84,27.933015478906,25.844309240268,31.971622005426,47.14,,29.271847093429,16.853446709292,28.063727666473,16.798174974794,45.200165749208,40.164162959726,31.79014361508,1087.1569691378
2007-06-27,26.25944400742,,15.664563860226,,21.078104464406,19.602168547152,50.26156816272232,304.80731864337645,34.660485776526,40.47,28.570584306969,25.457749059324,32.15785154904,47.72,,29.608997121655,16.754811632959,28.504218387352,16.905757065209,45.785044561976,40.544167590934,31.908837368465,1081.9464620965
2007-06-28,26.252621600559,,15.493640323151,,20.926372458664,19.511367321716,50.050623728141076,305.4277464510251,34.555600693869,40.42,28.308055966002,25.520860925601,32.197757879814,47.77,,29.326031919394,16.82714402227,28.440379152442,16.629117404142,45.556576275738,40.311511694276,32.433068112584,1079.6477089901
2007-06-29,26.225331973116,,15.683840950874,,20.850506455792,19.449622488419,50.72402326930427,308.4412529453184,34.604009193557,40.15,28.233047868583,26.104645688659,32.237664210589,47.08,,29.506648005943,16.93936899221,28.753191403501,16.813543844853,45.145333360511,39.861710294071,32.175898313582,1073.2112002921
